representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00029013.2	 	FAM53B	39101	1	1	5769270.692	6314732.792	7947637.774	10790268.841	5854925.576	5475014.59	5111986.529	4834338.271	8327198.859	4785489.243
IPI00300564.3	 	IL17RC	39101	1	1	1038640.781	1715729.766	1881040.803	3090116.807	1138349.254	1309400.401	864991.303	854566.396	1346946.211	1164546.09
IPI00022213.1	IPI00910787.1,IPI00792533.1	PGC	39101	1	3	2264992.092	2843828.885	2644046.954	4086621.04	1929384.149	1436110.97	1392118.215	1047095.409	1966814.611	1159253.257
IPI00873762.1	 	TAF15	39101	1	2	2691351.127	2256754.25	4135635.14	3301749.306	2489857.249	2272363.187	2699470.242	2273420.847	3142536.328	4176943.089
IPI00384541.4	 	RPRD2	39101	1	1	8099267.326	10011339.675	9676037.784	17331116.792	6905369.692	6748650.274	5729248.999	5982135.261	10389776.51	6267951.257
IPI00333010.8	 	CHERP	39101	1	1	1686201.994	2001229.844	2402245.499	2833609.217	1343026.373	1504088.862	1343574.807	804970.551	1390607.213	992176.002
IPI00293464.5	 	DDB1	39101	33	97	1097741438.32	1214647487.09	1410672614.25	2022556025.55	868311621.321	1071682400.24	1087218084.43	1083876546.37	1368098954.45	918210093.43
IPI00069084.2	 	TRRAP	39101	30	39	337032963.929	383387690.019	364203807.561	642772635.979	342900720.4	309967315.622	256252103.672	233000576.806	331986158.012	237159996.975
IPI00909387.1	 	GHITM	39101	5	12	225669950.413	177247911.924	228648666.3	207253972.426	178826788.064	156227598.768	152207308.146	173760372.66	166990647.124	193336761.018
IPI00745793.1	 	CCNB1	39101	6	9	154145569.05	144471369.967	172702284.975	205688516.434	105588312.737	112782741.587	103829688.462	111453836.844	141031922.163	104461259.869
IPI00289584.4	 	RNF139	39101	2	2	30975713.883	29385161.319	41021555.664	52477432.452	25179429.424	30159207.041	29294510.06	30682664.491	44538201.323	36364674.85
IPI00479877.4	 	ALDH9A1	39101	10	22	308882224.072	314210625.101	350625617.412	527444491.651	219350153.064	246009208.376	234834513.977	216386222.429	348558374.235	207218073.415
IPI00296830.5	 	LUZP1	39101	3	3	17421997.013	25809735.73	25371982.428	36247813.917	14736864.804	13900064.55	14792819.399	14315838.432	19248822.86	11935063.154
IPI00006280.4	 	SCAP	39101	1	1	934286.124	993394.106	604000.57	1417655.268	712719.949	655684.188	613448.105	189812.564	486662.707	373452.347
IPI00639841.2	 	PECI	39101	9	26	498534654.073	501089849.491	542841737.475	848110522.166	345833005.033	341939309.808	317171461.515	304313412.966	479891637.769	293913427.477
IPI00020827.1	 	LOC100129759	39101	3	3	97905091.637	96072048.456	97379172.028	130474125.516	70495317.459	84161207.061	79634582.952	80023543.249	107526950.865	71686724.396
IPI00793375.1	 	XPNPEP1	39101	9	10	185587566.366	196913668.534	252402065.816	329066538.651	138034966.83	80646993.996	69452486.092	74974278.763	105718028.545	69587031.256
IPI00374590.4	 	CASC4	39101	14	20	396756315.624	429361684.918	491231682.642	674738346.379	318661989.373	409954947.666	393793942.444	412403031.523	558967628.692	365671090.964
IPI00294891.5	 	NOP2	39101	1	1	613172.691	693515.091	565599.091	645706.624	641947.088	81704.281	353425.069	352466.239	545344.814	247205.596
IPI00215917.3	 	ARF3	39101	3	16	510477843.791	504979084.463	549704548.37	862730162.808	332915013.47	435940427.803	402723583.954	417988397.175	631676666.356	342433363.48
IPI00071697.1	IPI00216406.4,IPI00513906.3	NFYC	39101	2	2	13303618.73	13996971.803	17703368.523	22359868.856	11573421.18	9548368.548	8377228.739	9846056.506	9710541.665	8009959.241
IPI00456363.1	 	ATXN2L	39101	14	18	232279507.783	290994996.929	306464843.101	434656045.832	206514608.651	128363151.006	123169024.435	125586409.208	166551517.208	105096187.449
IPI00009305.1	 	GNPDA1	39101	7	21	206350987.085	206916327.812	227984587.519	339111411.909	147178573.872	197606656.571	185193812.112	184515011.706	280877610.466	173806478.376
