representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00030363.1	 	ACAT1	39106	13	42	2633985891.22	3187297576.9	2818561837.05	3761866429.57	4343241922.77	2932575026.86	3258095203.63	3151710839.54	3538647303.06	3354300796.99
IPI00551062.2	 	CNPY3	39106	7	11	1041956213.52	1114517140.57	1025835055.79	1334793661.03	1489416157.12	1077073284.2	1144366118.23	1148116341.73	1276388684.69	1179690263.35
IPI00479367.2	IPI00477181.1	RNF220	39106	2	2	105930996.531	130431174.805	127783526.073	155603653.27	195401826.184	116583809.977	131145382.214	126387431.562	141643183.646	155370188.415
IPI00844017.3	 	PTPLA	39106	1	1	10747523.842	12346890.833	12776485.487	15807494.408	18958423.246	13945599.458	16439089.76	13044508.486	15517388.007	16467455.017
IPI00413755.1	 	TAF4	39106	7	8	500439646.531	638764693.536	639269321.059	816834956.118	878524265.411	463168994.744	643707029.538	561556797.81	620517771.206	621515201.96
IPI00217536.3	 	RHOT1	39106	7	8	214812018.87	241734245.735	229108970.736	306486437.414	317734136.704	230245568.603	234774621.601	247988599.941	267259379.957	253216756.805
IPI00217261.3	 	TEX2	39106	14	18	577288691.757	731409209.268	683281731.928	853040401.702	923658957.381	675009583.542	735515567.337	699657266.631	778877579.222	782661320.842
IPI00640525.2	 	CTSA	39106	10	29	1455770037.3	1666036160.96	1496444905.18	1904990920.04	2327434392.95	1658688631.87	1852910293.25	1703306116.48	1935432237.21	1898993977.42
IPI00402231.1	 	DNAJC5	39106	2	4	276221230.621	309790424.265	293139306.108	349691455.524	422579526.502	302427304.273	313386136.797	334742746.304	360872314.819	351600020.949
IPI00009542.1	 	MAGED2	39106	10	11	599422347.815	726758465.363	730224760.1	1002810447.68	1059025101.94	393204560.249	458035439.649	420232886.903	536884008.374	511396347.32
IPI00792743.1	 	SLTM	39106	8	9	240240639.634	345990366.723	312837404.965	483688728.043	463711259.455	272827087.184	372210328.12	368019578.675	530553727.703	429454697.218
IPI00025839.4	 	HNF1A	39106	3	4	91264788.762	108847093.053	132218395.712	146207439.328	159014375.082	75121125.801	90298289.1	85454436.61	92826330.008	95469763.57
IPI00099838.5	 	ACP6	39106	2	3	170684455.838	195547961.121	202599510.175	248626322.629	281955075.066	189214082.926	201646410.4	215087562.004	226381567.447	236150124.78
IPI00007814.3	 	ATP6V1C1	39106	12	20	1128645017.29	1296345588.02	1283748693.73	1644325879.22	1887250601.86	1250892752.31	1377963301.05	1307257949.15	1493545786.22	1492725688.07
IPI00002984.1	 	NPC1L1	39106	1	1	42270780	50344541.25	49657202.352	61729091.31	69694022.835	51515345.336	52245867.023	49035660.56	59888177.258	61320432.135
IPI00290305.3	 	TP53RK	39106	9	13	503570231.2	553481660.86	576875401.927	701855393.347	831955222.657	583752721.476	605436909.05	624918799.545	683887985.185	710125353.76
IPI00028098.1	 	CCND1	39106	3	4	204841190.305	232467960.018	248774391.555	316622153.648	370562620.801	229300163.833	246595313.39	249301332.723	284001102.476	290792655.534
IPI00005107.2	 	NPC1	39106	10	20	576737632.314	777286995.28	653792978.068	856813409.729	912803214.157	746869331.058	781043491.487	753787715.909	833773822.864	795254498.627
IPI00328744.6	 	GNA12	39106	4	4	123063410.303	142922691.495	135253282.741	176740325.313	197149168.917	128871555.017	147658080.361	138546548.336	166540741.931	168652130.282
IPI00217151.3	 	C17ORF39	39106	1	1	65819416.463	65633403.288	99635379.417	112822531.526	115419115.117	76488416.68	103793796.154	73782918.131	113763627.45	115220492.356
IPI00299778.2	 	PON3	39106	3	3	82120670.236	95027660.176	102753753.479	111523727.303	146358126.183	92691528.761	107872763.947	106132354.224	115477469.909	123788912.631
IPI00107113.3	 	UTP14A	39106	4	4	157269379.463	175904473.057	187836529.148	280737859.087	298724414.701	186330543.042	271139172.16	268815896.937	320703275.082	263896823.707
IPI00010348.1	 	DNASE2	39106	1	2	63650766.821	74778875.5	69397103.141	89240811.299	101208803.618	67337436.13	73981669.897	65090322.485	80538808.459	86453032.189
IPI00477966.2	 	TBC1D8B	39106	6	6	217519964.938	258576476.045	262014459.749	327036847.429	375456946.577	237827574.954	282023308.698	265443284.215	307423992.47	312333079.77
IPI00152667.3	 	ASAP3	39106	9	10	379204370.692	452168913.203	466438534.297	596034624.025	640688082.084	265349386.207	318805288.994	281738497.802	355861244.23	352602618.187
IPI00023704.1	 	LPP	39106	11	18	1168680165.98	1317650509.21	1224971204.99	1488667587.27	1742395094.77	1242065981.37	1278787140.93	1320384586.51	1372198523.95	1373000177.27
IPI00170916.1	 	NECAP1	39106	3	3	98127667.459	119382559.623	113228677.036	217363144.194	159124931.826	127806291.956	125570309.253	119964942.77	129857271.508	175620543.017
IPI00657805.1	 	XRN1	39106	10	11	313964897.93	428303964.885	409751519.544	534139092.867	568417539.266	273294879.943	346621965.821	331015762.135	366973422.885	406454363.632
IPI00012486.3	 	SPNS1	39106	3	3	123327864.922	143422765.521	136639594.572	174244774.401	195617423.377	125974252.785	145239807.169	144116512.194	158490349.197	160221622.035
IPI00329547.3	 	ZC3H13	39106	15	19	241588097.541	380203663.143	345567755.044	602898048.204	524654529.51	288967495.155	405900968.812	436800636.093	620268931.395	449019496.897
IPI00337460.3	 	KLC1	39106	9	14	1086774967.06	1237032748.97	1182091226.45	1511526498.14	1796007141.86	1212500572.56	1334307833.14	1279632432.68	1383017368.07	1351307400.63
IPI00073713.3	 	MSI2	39106	9	25	1632638218.95	1904216476.63	1767817500.48	2287247136.21	2595640436.48	1796838274.21	1938455202.77	1934682764.5	2169898618.28	2050649928.54
IPI00893829.1	 	TSSC1	39106	7	8	521725694.321	596841162.008	605785176.925	753976392.763	854321774.506	541631538.91	601452838.183	585330443.994	649320795.994	656291797.238
IPI00644702.2	 	NDRG4	39106	1	1	1785166.09	1920098.492	2398419.247	3015895.787	3570020.175	2636603.26	2479653.883	2748681.527	2819267.666	2836055.395
IPI00291200.2	 	NUP133	39106	14	16	711848866.168	840262127.701	920269313.158	1169096536.68	1401640645.16	719966959.886	928676714.719	897758358.233	1038287369.39	1062428700.66
IPI00607627.3	 	MRPL51	39106	3	5	192933344.602	170587188.154	267749481.876	315204051.264	299215361.805	176107089.672	297337302.764	165476396.29	325132141.353	276715846.969
IPI00217616.2	 	FAM126B	39106	2	2	51951145.876	62997823.036	49818977.899	71980089.53	74030411.551	55813517.627	51649854.071	49294067.91	62883276.269	54758400.84
IPI00639841.2	 	PECI	39106	10	33	2887053328.33	3410684131.39	3269710099.81	4369293057.92	4771247540.23	3317602690.45	3727556299.18	3650277318.65	4066291953.41	3781549343.35
IPI00025252.1	 	PDIA3	39106	27	143	10554151283.5	12505365854.2	11630312553.8	15596045077.8	17467645819.4	11663867772.6	12887675043.5	12483002378.1	13947668220.3	13520320547.2
IPI00295741.4	 	CTSB	39106	9	24	1229053735.77	1402122068.34	1434158000.24	1738278183.1	2061989542.51	1349792362.63	1498143903.99	1525237783.57	1662769174.29	1730798155.74
IPI00154915.1	 	PARD3	39106	6	10	568846400.377	668613916.62	684851348.04	815604055.341	1027248361.5	534544221.606	602785704.37	599312297.965	677222864.323	727841009.394
IPI00030131.3	 	TMPO	39106	7	10	409924645.819	460551366.701	540996737.744	524254716.814	796022537.302	551495715.745	617204126.824	631825023.334	628402608.872	851948332.121
IPI00000875.7	 	EEF1G	39106	17	59	3088494715.99	3716161023.64	4008219610.43	4973078201.44	5214069781.07	3689341704.04	4441349186.84	3746736835.22	4341208382.6	4504806797.51
IPI00872639.1	 	ADA	39106	4	5	231215074.77	275089629.925	263322655.818	350787693.962	389878351.834	285690043.026	300623946.347	299303431.053	311252224.934	326181972.668
IPI00001649.2	 	DNAJC15	39106	1	1	105143981.465	114050499.419	111616622.001	126279309.987	160438861.03	108006823.047	115009009.337	109701201.993	112787410.347	121063566.671
IPI00784477.3	 	MRM1	39106	3	3	85193263.811	97802954.056	108584400.497	121363308.869	143650683.913	87116848.065	120442344.995	105130855.749	117119238.268	127778619.162
IPI00220308.1	 	NF2	39106	7	7	199591328.325	230621778.938	221059070.608	268999580.863	317315227.49	220370332.223	231608098.737	233882038.08	255576550.115	274885359.429
IPI00019205.1	 	C14ORF4	39106	9	11	472283653.405	569874496.468	548578658.978	693095163.636	785486468.309	500542576.312	515547889.72	527683199.83	619789393.453	579932819.797
IPI00909428.1	 	LOC389333	39106	1	1	22495095.856	32317471.436	30496004.301	35449601	40323076.293	29984422.306	33304410.182	33663255.558	33814521.365	41029904.627
IPI00015102.2	 	ALCAM	39106	9	18	734383499.206	849084022.292	785407300.496	1060040091.62	1119574289.58	809376450.855	881701744.626	841521358.559	1033905937.04	923890224.392
IPI00022883.1	 	AP3M2	39106	4	5	149565952.268	175896295.452	182787476.315	341778477.998	264047986.546	214490611.731	210905433.713	186925786.442	238863685.894	291496938.529
IPI00021917.1	 	RIPK2	39106	5	5	259734511.843	303419381.606	323066841.821	355720485.649	457237144.498	300199613.168	303314651.45	342963857.934	319759969.381	378446956.335
IPI00646954.1	 	ENAH	39106	10	26	920892600.604	1081608991.41	1115931196.96	1269700948.31	1666751595.7	1095622806.31	1155884328.43	1228315114.81	1200768130.95	1390789372.93
IPI00748532.2	 	NCOA3	39106	7	10	342173425.848	426862414.363	409744804.802	512309169.032	591307766.652	359339270.774	406193121.267	399361097.256	458921786.739	478422077.344
IPI00719680.1	 	AP3D1	39106	31	59	2736465746.72	3449033390.22	3373032420.97	4244292602.71	4603605075.99	3104089049.55	3692301436.62	3383097638.94	3753604217.74	4031027768.31
IPI00908931.1	 	PDCD5	39106	4	13	960984006.301	1096349780.29	1039384096.03	1313314148.55	1592945863.66	973851342.928	1133368007.77	1075977402.32	1252914264.27	1241821550.24
IPI00790342.1	 	RPL6	39106	5	9	226728318.359	280522278.493	257625025.423	351701584.288	419315179.771	275578426.434	381333202.889	327253537.502	379778987.141	455786718.138
IPI00414717.1	 	GLG1	39106	40	106	4384437899.52	5865296814.35	4953776258.9	6489818000.51	6972511322.34	4998549084.22	5677541996.8	5599098120.48	6078504716.71	5971192316.92
IPI00795553.2	 	ARMC8	39106	10	13	656154300.44	713513790.232	841103877.018	1104733222.71	1077458177.26	674001393.97	906227877.65	690667673.848	954454821.174	894216975.668
IPI00011084.2	 	CLDN6	39106	4	5	386152634.179	369973237.983	439809211.032	374738202.909	548694886.096	431870326.526	425163035.987	471141302.851	383758457.76	488487186.127
IPI00003494.1	 	PTTG1	39106	1	1	34355009.034	38156835.641	35352165.743	40841003.55	45072345.337	38798444.16	37471025.933	34405594.699	39898245.385	33987290.625
IPI00011307.4	 	MTHFD2	39106	10	25	948821367.965	1111697134.39	1090056205.69	1319745725.19	1585989889.92	1073206991.51	1128075651.49	1153343065.59	1247983581.32	1297865927.56
