representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00029699.1	 	RNASE4	39099	2	2	15812279.161	18974405.953	17445715.825	20405464.768	20291816.409	12474951.126	12678221.179	16271414.932	15793586.979	12747853.547
IPI00100930.2	 	C12ORF43	39099	3	4	24276405.227	29668641.695	26168097.757	31265387.731	32187773.491	24627199.748	25055751.666	29382008.51	29367699.475	23392780.425
IPI00657967.2	 	PHACTR4	39099	11	17	204972015.949	198309822.085	193726428.703	269294876.714	228032852.144	195023907.403	194925290.983	216602515.328	242822482.04	171414238.999
IPI00007334.1	 	ACIN1	39099	15	17	179067483.555	216266344.22	265956672.244	280409984.044	259609144.174	207234190.327	215225582.084	255296088.219	243437322.296	201550754.938
IPI00008895.1	 	EMP2	39099	2	7	131674813.36	134901466.713	129666373.537	131573305.509	159190820.472	119031422.171	123290922.833	156298323.961	93703566.85	136656498.811
IPI00018274.1	 	EGFR	39099	1	2	2606513.786	2641247.349	3449438.423	3524025.24	3506418.496	2357794.6	2964312.841	2710285.228	3510474.159	2270203.151
IPI00021305.1	 	CCNH	39099	1	1	4284259.837	3733852.048	3740932.262	3775287.93	3860142.691	1012798.131	925440.205	1138123.252	1126431.14	1051324.306
IPI00031370.3	 	TUBB2B	39099	4	8	117989051.985	120676415.863	128734407.213	155976936.782	150578015.188	73249587.501	65518671.637	70072766.867	89273290.567	70094051.972
IPI00298994.6	 	TLN1	39099	2	2	6551147.93	6465315.353	6995498.005	10928075.025	8808048.416	5177522.51	5109007.821	6083005.889	5747770.494	5590722.667
IPI00743293.2	 	RTN3	39099	7	19	212003165.672	240415860.03	209694345.293	278853963.021	247063468.693	211466620.438	214781560.649	242823377.928	263179608.688	178374603.314
IPI00023729.1	 	FN3K	39099	10	21	299552633.064	317005742.767	299681213.318	403635452.876	378719772.138	283361122.535	262819322.408	293484119.836	352306580.923	266420078.214
