representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00100674.1	 	REEP4	39108	2	2	384701994.248	337985199.598	405314424.38	343504618.465	443822967.844	306495499.671	302366953.392	335107277.813	308270889.388	373980776.922
IPI00879210.1	 	GTF3C5	39108	3	3	154137576.239	159105112.252	160394968.67	148616727.404	192837708.875	68451992.057	68082132.587	87841597.339	62715019.351	77953964.796
IPI00079406.4	 	C15ORF61	39108	1	1	54168403.413	54208833.57	42170282.453	53524546.971	56990334.712	39255321.349	35657321.777	42859605.922	34375743.561	35311094.489
IPI00187144.5	 	TTC39B	39108	9	11	1281193460.78	1285080455.77	1293496688.35	1244192940.37	1489651538.58	1152778307.76	1092201231.18	1213088818.41	1032439300.02	1229839099.46
IPI00009410.2	 	EDEM3	39108	9	10	888738891.144	891125693.945	808262858.729	908728881.819	961435519.127	800327828.174	700264023.14	934214792.354	595766888.231	762028535.247
IPI00000728.3	 	USP15	39108	12	18	1196770192.04	1141991324.74	1072842480.04	1133028043.11	1316104573.75	699812886.115	678690423.576	785700052.183	640137424.284	756084479.948
IPI00022316.3	 	MRPS18B	39108	4	6	439993385.549	443883939.291	407493004.781	425890530.278	565946274.117	398467447.766	301970326.811	406885554.623	242071883.324	420463296.489
IPI00022462.2	 	TFRC	39108	27	63	5603953290.49	5030833385.9	4146558606.71	5055791971.49	6004617017.09	4865345115.94	4211678874.81	4340016917.77	4011937367.97	4853998029.16
IPI00556144.3	 	C19ORF54	39108	1	1	32098956.756	32113407.128	34695377.478	35629912.03	40965520.241	23320380.738	25022304.709	25423723.844	26738658.119	32724651.705
IPI00396145.1	 	PIP5K3	39108	7	7	372771300.288	424472916.288	334120747.503	401016739.551	470743268.914	258871991.904	231833729.837	286130904.712	210184205.349	259329066.818
IPI00010154.3	 	GDI1	39108	7	12	1634564127.93	1573571475.84	1576140420.64	1607406474.98	1814739417.18	1471911615.12	1447700922.78	1439061585.67	1353998997.04	1525508001.29
IPI00000845.2	 	DTNA	39108	6	9	209867755.189	206126979.332	199548067.191	187946329.755	241652344.912	163239596.096	159221571.089	168513320.151	138783076.064	170519306.181
IPI00419166.3	 	FAM83G	39108	2	2	19328349.714	17792491.763	18623961.802	16250095.367	28183489.871	14678292.13	8966922.182	13594812.074	5838055.084	15102980.628
IPI00030128.1	 	B4GALT4	39108	5	5	141374305.286	123331392.481	147369393.352	128124062.972	155142948.313	104550244.432	109593325.509	123323025.1	98962287.43	127870377.07
IPI00879468.1	 	C7ORF41	39108	2	2	33004262.825	31671449.627	30943032.772	34060251.462	37158293.34	28046472.619	29480660.147	31023235.824	30760088.99	32648215.239
IPI00019977.2	 	GTF2E1	39108	8	9	402326002.049	395891186.138	405371152.451	333207049.834	473893952.228	196229675.273	164073065.265	181148041.13	144174451.877	186018613.532
IPI00024163.1	 	POLR3A	39108	12	12	422494686.922	481351224.483	318535178.438	398649718.424	460156169.127	203492485.561	188459951.285	243858868.664	173178326.281	191487800.026
IPI00012199.1	 	CCDC86	39108	7	8	473458993.06	500451072.835	423558824.398	571410838.837	599365099.016	472562761.728	459668779.207	501476273.096	481557816.558	513249830.662
IPI00006482.1	 	ATP1A1	39108	34	118	11796771343.7	11882318628.3	10964538259.3	11873049588.7	12848496108.8	9919009937.23	10412532803.9	11313375576.9	10158763513.3	10939838801.9
IPI00102059.2	 	SCYL1	39108	9	17	1264657509.56	1258091145.7	1303112681.88	1309908696.77	1499912224.03	955471527.521	944441141.826	1075821710.78	909024478.389	1172284442.71
IPI00555956.2	 	PSMB4	39108	4	11	1071709562.84	1087356454.93	739044300.343	1005515222.77	1015258856.8	912849355.142	878748708.627	976742653.578	716578787.606	773779891.882
IPI00013895.1	 	S100A11	39108	3	3	165595917.47	159181427.532	196963635.987	147129507.968	221682119.542	167576949.612	205366283.196	199565972.641	147792668.957	236229491.869
IPI00025019.3	 	PSMB1	39108	13	41	3747055124.8	3805762498.77	2972549018.89	3716119063.73	3931084337.09	3899787426.49	3286034449.2	4276775840.28	2533555537.18	3605370555.53
IPI00029521.5	 	SCYL1BP1	39108	3	3	387130311.778	380028158.066	356831676.244	391877016.032	463101019.635	217946906.243	248556393.768	249197848.882	230528664.447	276478483.901
IPI00394838.3	 	ACLY	39108	57	198	12451463095.4	12857626196.9	10335137353.1	13262110462.8	12429114888.4	9886899416.62	8956230454.61	10703805184.1	8570393611.44	8858675983.42
IPI00019353.4	 	AGK	39108	12	19	1647215291.98	1626758051.68	1604295342	1696458793.58	1701195380.46	1381074463.91	1397393199.55	1429830330.56	1407144995.73	1368346372.37
IPI00014482.3	 	ALKBH1	39108	6	6	329133150.07	307971099.769	361681166.571	299956729.912	420465388.646	241686359.878	261352584.906	322985364.7	239549902.571	340223967.109
IPI00386861.4	 	PEX16	39108	3	3	152701720.545	137796791.507	163059882.474	152093462.257	174078903.231	111763279.542	105000524.367	119163131.045	117128521.274	136324366.453
IPI00018192.2	 	WDR74	39108	4	4	150505456.108	151209908.35	132560662.91	142213889.149	196283755.606	130039642.43	129142801.443	142572177.834	113986966.09	144491256.091
IPI00797537.2	 	NUDCD1	39108	9	12	651167212.201	609436253.626	689774744.84	602103898.212	767127948.695	514587963.627	520888311.016	554679223.608	436559281.063	553687474.438
