representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00019046.4	 	RBM22	39110	6	6	96108408.387	94566321.264	107683217.85	79272741.461	127466311.514	56053098.01	51703751.073	52764963.882	46697499.977	49707186.218
IPI00290204.1	 	SNRNP70	39110	11	22	520294200.189	511232646.609	603523112.698	401098300.354	1228573854.12	372699558.603	321325180.39	371053729.37	283686103.754	547071286.679
IPI00016608.1	 	TMED2	39110	13	57	839056777.035	890353028.081	794995074.596	783622568.153	925862735.543	717808180.76	730712042.503	747995413.857	763340947.777	699591321.235
IPI00028883.1	 	NDUFB8	39110	6	11	172216603.54	141905198.079	182530300.957	122525374.29	269700038.189	164845849.221	115078450.613	191038936.868	111360911.152	196121475.167
IPI00165092.3	 	YARS2	39110	2	3	10201116.31	10469492.851	9494573.356	9716752.191	12834477.966	7748245.871	8219544.536	7596063.183	7013970.039	7397019.09
IPI00550506.2	 	ARHGEF16	39110	1	1	6927209.683	4890947.374	4685323.147	4972930.986	7807278.969	2691248.228	2062620.493	3110541.265	3066523.458	3152423.967
IPI00411426.3	 	VPS26A	39110	14	33	1023066031.67	1053079472.07	1077991130.07	983214479.527	1212248238.23	851021314.243	789269004.029	814391150	803253059.801	834479016.794
IPI00032107.1	 	SLC26A2	39110	3	3	59226438.823	56517697.1	62017082.633	50718716.527	73311531.871	40607772.911	37098188.666	38214459.391	44128782.58	40827786.521
IPI00418754.3	 	FLJ45032	39110	2	2	24314326.17	25097354.558	18895311.312	20045339.525	24812823.401	18683366.763	19551313.721	21801559.211	18992346.208	16807574.679
IPI00009922.3	 	C14ORF156	39110	6	15	354141033.653	378756966.65	350819837.515	350188919.856	429785841.81	300840686.144	297044369.323	294786445.668	306494957.806	325740781.248
IPI00027481.1	 	ABCB1	39110	19	26	637671299.012	558253437.649	624472844.221	593957837.143	817180362.584	407286027.965	434791036.268	393685896.984	442209911.467	466892455.694
IPI00021700.3	 	PCNA	39110	16	104	2668122369.59	2773291996.47	2523526889.93	2492782921.26	3222043885.95	2198347288.78	2295682154.02	2316923863.39	2317320949.65	2322991792.73
IPI00295777.6	 	GPD1	39110	12	27	498699806.297	514883239.788	496998547.152	502669457.788	578768262.716	405154859.534	393367957.01	396045381.201	425465307.323	422534271.986
IPI00018946.4	 	PANK4	39110	11	14	202570000.923	178835386.035	193543031.441	199004990.505	255438938.292	144268026.154	125397339.653	117734597.455	139737621.024	139563683.631
IPI00306382.2	 	SCAMP3	39110	9	18	293899959.291	320827918.221	323612875.659	298080119.456	365949578.335	269986550.133	266721293.345	247825770.547	269791820.774	278982895.414
IPI00107155.2	 	C3ORF75	39110	4	4	31003063.871	28060620.356	31515363.032	26505783.539	38496027.725	28180905.527	26681850.357	31369631.68	30402669.407	30902010.74
IPI00152325.2	 	RG9MTD2	39110	5	6	54096324.405	52615234.395	63462260.307	54951277.674	72497298.809	47774341.239	46743827.253	47284652.857	52230914.156	55491886.206
IPI00238209.3	 	NUDCD3	39110	2	2	59332861.84	58833702.979	57538155.13	50123206.654	72450356.199	31319496.18	27382422.234	28759240.12	27643231.427	29393877.393
IPI00102923.3	 	FAM108A1	39110	2	2	17297704.688	18624088.125	17692231.208	16791594.68	23248408.25	15157239.063	14726783.485	14661416.09	15392170.642	15312231.347
IPI00306330.7	 	NSL1	39110	1	1	6422605.046	5653253.698	6570133.918	5394279.833	11457449.226	5418482.944	7476373.596	6191379.111	7827636.684	7297011.778
IPI00153031.3	 	C17ORF80	39110	5	7	179310358.277	190730686.666	171715197.216	161595013.256	203232710.008	144722331.169	140526913.715	137621895.535	142439483.372	131133743.018
IPI00743203.2	 	LAMB2	39110	21	23	297261705.933	282032773.119	313299705.386	262243794.145	387535274.334	278896062.457	261573443.18	280253522.419	265322245.566	295664519.76
IPI00019208.5	 	LOC100131713	39110	1	3	59916286.87	55055737.953	72552224.075	38005987.789	69824105.471	54814059.501	56134299.443	57544011.913	47227185.701	65809537.32
IPI00220194.6	 	SLC2A1	39110	12	60	1092150717.51	1157840134.64	1185789355.65	1010440101.92	1366556988.14	1049261474.63	1060723912.25	1152311353	1083852399.32	1155264188.41
IPI00478230.2	 	RBBP5	39110	7	10	189831494.549	192543529.412	199751551.126	167584799.235	243212803.015	180339097.942	193741433.85	196716911.063	187565613.741	193152607.694
IPI00470596.3	 	ZNF638	39110	9	10	90134410.548	143180200.819	120411181.357	150939609.665	116339198.691	88037726.419	138862177.885	111455260.1	148305080.226	110430042.643
IPI00291669.3	 	UBLCP1	39110	1	1	53154115.318	44249885.961	48722419.66	41347748.474	57816730.175	15189652.058	13107378.047	13369823.109	12466652.517	14743256.373
IPI00016763.3	 	GTPBP6	39110	1	1	26190440.978	22741703.568	29856298.087	19884469.597	40990333.081	18425503.345	12032854.191	15561156.061	12088992.098	19912334.218
IPI00013621.4	 	THTPA	39110	5	5	88247164.609	92460703.669	87509852.7	82061366.139	103725872.345	59304024.143	61420144.845	64542841.246	62046517.904	68633015.609
IPI00031616.6	 	C17ORF37	39110	2	4	60864538.132	71211581.605	70267286.62	60333429.398	93403941.716	52460405.575	53490094.048	52121046.277	53026954.328	67563881.268
IPI00021147.1	 	DEGS1	39110	4	7	68137041.426	75030034.688	75445581.133	62519258.611	86831833.883	64657985.865	70175553.891	65660268.824	66946927.48	74241126.697
IPI00002993.1	 	TAF9	39110	1	1	7156893.75	6200617.969	5193918.781	5897071.864	7367214.328	5534721.949	5374077.908	4678999.055	6224102.799	4652650.014
IPI00477820.5	 	FREM1	39110	10	10	68342268.608	60380271.991	73254170.784	50435528.376	92403517.814	74149822.84	58778801.198	69553992.121	65740072.709	69057706.218
IPI00456970.1	 	CDC2L5	39110	4	4	46164395.053	56986152.744	49996930.776	49860468.969	58344195.092	34511208.851	44253885.27	37690963.089	38991318.816	40057951.119
IPI00010706.1	 	GSS	39110	24	58	1548429176.97	1621450349.65	1530222341.22	1500307681.23	1873876209.22	1381068850.74	1438245442.3	1503117977.4	1492930306.24	1464193225.51
IPI00063130.2	 	TMEM205	39110	3	6	153819033.434	166930467.564	139573826.324	138991351.811	173615764.782	139180149.466	138012095.183	141146940.082	142170383.071	131850520.115
IPI00550689.3	 	C22ORF28	39110	14	36	764919785.544	768202543.155	789038275.119	738897837.376	984424927.723	673636872.466	659192702.975	710259452.961	703808961.913	748619572.447
IPI00797136.2	 	IKIP	39110	9	18	406361833.662	478687280.058	423756640.527	387334665.383	480051881.667	345561891.503	353135639.792	337635383.476	335839398.661	340195336.494
IPI00007926.1	 	C6ORF108	39110	3	5	75768885.896	74920677.054	62089792.085	64983856.652	82886330.005	55344322.713	56237086.67	60640693.67	63663086.807	52089991.841
IPI00005277.4	 	RAD9A	39110	3	4	41066635.262	44124194.983	43151561.726	37732776.204	50861986.106	37783151.477	34167597.037	37203905.025	38802533.294	37222076.967
IPI00176706.1	 	RBM17	39110	5	5	53301531.762	73023094.01	60811044.025	67857365.318	73470650.056	46033619.842	55401100.192	44142937.855	52815325.327	49600855.659
IPI00021370.1	 	UBE2K	39110	8	14	360515944.49	374426000.248	317513908.659	309968627.15	401502051.196	263747637.248	278901438.552	267161030.24	273139446.725	256681705.123
IPI00016726.3	 	C14ORF119	39110	1	1	13554144.386	13687939.087	10900578.193	11649994.979	13277693.726	10351482.03	9296503.9	10532315.929	11288056.145	9869106.688
IPI00031821.1	 	ITM2B	39110	2	2	70133790.739	73553252.649	67384307.331	67656825.582	76860739.978	57772889.032	58340817.73	57602459.711	59278774.2	57224430.217
IPI00219301.7	 	MARCKS	39110	7	14	460444685.57	399921676.137	461106229.655	371797303.995	517298100.093	306564654.855	351849738.482	393232228.814	369573995.082	424957761.603
IPI00022228.2	 	HDLBP	39110	11	11	158541167.545	174789762.195	171395412.712	176493183.53	239245916.683	118751053.089	127212468.566	132301270.816	120380298.878	144071690.436
IPI00014843.5	 	LRRC16A	39110	7	8	61745421.298	65735502.03	65746580.656	65004823.209	86546556.015	61114779.213	69692853.037	62249347.57	64582528.114	67221018.89
IPI00020418.1	 	RRAS	39110	3	3	49689747.491	51997266.51	49400186.114	48899760.374	69456524.982	47944844.341	46970769.116	43665108.709	43174241.138	46153981.675
IPI00010948.2	 	TRIM26	39110	1	1	4969216.95	5685336.861	4968843.105	5476952.562	5625472.821	4835718.058	4535096.273	4454573.458	4887904.552	4760034.502
IPI00465179.3	 	PFKM	39110	5	7	35062520.863	35303812.474	38707434.625	37724440.423	47672875.509	33095444.092	34107773.009	33710084.865	33208448.941	35458553.555
IPI00552920.2	 	EXOSC8	39110	8	11	251458920.93	247119244.989	274355528.634	229189166.445	309400797.101	212594057.909	222367102.715	233333666.968	221659535.421	237210447.57
IPI00240793.1	 	ATP11B	39110	5	5	47863466.328	50725520.624	45262274.011	41175750.782	57579078.446	41266116.766	45700649.583	43144120.866	44409623.165	45044735.102
IPI00294943.1	 	ARIH1	39110	7	9	165432670.437	180999314.794	185749680.085	162509346.958	208352638.504	152750906.136	169815256.418	160172375.058	155906406.609	168280757.774
IPI00290094.4	 	SFRS8	39110	3	3	16154264.288	16949617.098	22626233.274	16460306.299	24087579.441	12655127.896	13694925.04	12813401.229	12960446.226	14726654.86
IPI00477505.3	 	ANKRD28	39110	5	5	68502857.896	68849605.986	69690610.944	58821764.178	71593816.018	42249394.083	49072326.473	48973203.975	48936145.566	49280949.62
IPI00396321.1	 	LRRC59	39110	14	61	1043456521.48	1031291219.53	1129295956.5	969233770.436	1330674754.34	941014209.26	882560255.652	1095233061.99	971593271.448	1093541567.42
IPI00218976.1	 	FTCD	39110	5	5	88003765.336	72340144.521	63271037.755	83856297.925	99918675.649	36810925.702	31572007.06	40959827.253	40926668.056	43132387.173
IPI00024166.3	 	MRAS	39110	2	2	48237440.625	49833706.875	54531924.501	50364640.076	64083376.267	49657912.464	47862810.31	51360873.018	51721304.132	55133552.94
IPI00007146.3	 	GINS2	39110	4	4	61153198.021	61389975.92	59441835.344	58185688.152	75932803.147	37230631.867	37494228.122	37798304.453	35934782.773	40953193.162
IPI00855785.1	 	FN1	39110	43	77	1301583921.55	1283755030.08	1334668107.46	992068209.868	1640030193.97	1254791577.28	1203773411.98	1245570854.07	1126518476.15	1304894458.2
IPI00643351.1	 	YBX1	39110	10	35	1256461875.42	1266387272.27	1087822889.92	1032825136.37	1477578184.91	1027636218.33	1008413227.9	1040544952.18	941796702.186	974246967.108
IPI00027269.1	 	CBL	39110	13	17	326613978.931	329228243.961	319379829.583	298175415.878	382022310.592	231292795.922	251152704.392	251226578.009	248732186.622	254990027.317
IPI00019591.2	 	CFB	39110	7	7	86764528.365	86246081.224	84337977.204	83065856.654	111907542.358	84785255.045	70570386.307	74286380.849	73519443.414	82895140.356
IPI00410687.11	 	ZDHHC17	39110	4	7	126658594.388	126905708.477	121872992.94	116779293.574	143814418.332	102003343.253	92420634.178	98463919.334	98192726.278	101167168.2
IPI00410544.4	 	UXS1	39110	6	11	208766346.69	208992997.007	204153674.396	174311882.559	245011802.058	188875527.018	177029236.66	185535021.487	177319042.143	179110653.889
IPI00299300.1	 	AMT	39110	8	12	204873644.384	227516118.58	206792324.486	199316018.57	228229315.227	139743599.762	144833879.935	146721553.498	150870967.77	137905033.114
IPI00220416.3	 	UQCRB	39110	10	27	774405261.184	763200119.364	798892383.817	535617249.005	1161966381.62	810170843.682	698958621.396	857926865.725	646409244.027	852788751.909
