representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00187144.5	 	TTC39B	39110	8	10	250064350.278	256706071.886	270747629.077	236426570.777	316924218.596	198488725.523	204860445.625	210308411.054	191992978.376	214726688.568
IPI00009410.2	 	EDEM3	39110	8	10	102064291.461	100425404.979	113681464.295	80726557.415	147391097.702	101697572.454	94176395.171	103943008.902	91994784.251	107434733.786
IPI00218184.1	 	TFPI	39110	7	11	323599221.309	329852055.106	301902543.596	279356952.009	442686147.615	302496312.124	290750602.308	301363673.767	279495978.706	287651418.159
IPI00514506.3	 	MRPL24	39110	6	8	277413196.862	162234750.354	214629685.693	95932926.726	351808266.694	193285435.829	109891206.34	148883610.305	122809277.328	152401550.165
IPI00022316.3	 	MRPS18B	39110	2	2	35888394.664	28974148.045	32404579.7	27362994.917	49217319.892	28508400.657	22882577.569	21361058.65	25269667.732	25333189.593
IPI00022462.2	 	TFRC	39110	27	72	1651486756.4	1554790207.27	1395420746.5	1304840680.95	2038163483.3	1489882792.68	1372558014.74	1294207167.42	1331745873.25	1496231525.3
IPI00396145.1	 	PIP5K3	39110	1	2	8359226.882	7324826.582	8557964.257	5919912.316	11058411.092	3885984.477	3820050.038	3064788.464	3437657.929	3163461.825
IPI00010154.3	 	GDI1	39110	9	18	308491410.546	320821519.135	280385785.913	279078559.182	377867220.158	244945863.17	265021480.642	273264416.1	259307391.708	236649057.164
IPI00419166.3	 	FAM83G	39110	2	3	9199799.539	7466940.868	9355588.489	7564845.329	12899924.191	6512099.445	7502112.184	7892263.465	8268743.552	7284615.063
IPI00019977.2	 	GTF2E1	39110	1	1	2680543.926	2713763.818	3226549.495	2341633.083	3899635.824	2337869.775	2361818.146	2412288.938	2723165.518	2685201.366
IPI00297646.4	 	COL1A1	39110	4	5	43572349.919	97230911.418	57080493.481	52442768.068	73192660.729	81206449.24	112528310.56	51402762.835	74266770.248	87295551.643
IPI00874185.1	 	HIBCH	39110	5	7	198520114.982	204997812.073	183103871.337	193274740.497	209766798.575	88652522.067	72227070.042	64492537.747	71159507.415	79414734.561
IPI00004408.1	 	ADD3	39110	14	24	408494595.698	429060524.098	385137442.088	385619248.882	507540463.023	350981532.4	366123500.263	360909425.546	370764298.204	347842061.371
IPI00012199.1	 	CCDC86	39110	8	12	210331341.581	228705441.14	228604236.535	248921732.621	280921948.665	186249699.333	206637858.973	195083872.604	218060243.296	227281524.289
IPI00006482.1	 	ATP1A1	39110	39	122	3049688988.41	3324897057.06	3125793248.44	2878634516.3	3530530892.8	2667621943.03	2915967555.06	2844603123.02	2826728748.51	2825420453.62
IPI00555956.2	 	PSMB4	39110	5	22	343067976.162	334563164.167	306488047.282	241844708.411	428511270.6	331263179.543	300747446.22	325839146.39	299013420.609	286835350.467
IPI00013895.1	 	S100A11	39110	3	6	114918875.187	120796786.375	134985203.224	98441481.271	151490396.114	107561562.76	122934139.313	128289460.505	106918700.372	151453806.014
IPI00025019.3	 	PSMB1	39110	16	47	843334994.247	744005739.874	821113833.544	560688403.984	1025663729.53	842519334.207	744610605.177	872355947.26	777102695.544	815167948.449
IPI00002966.2	 	HSPA4	39110	41	99	3909354405.88	3930820261.82	3642873309.32	3646296873.64	4780341424.94	1772734913.06	1766006040.08	1661695924.47	1653985431.43	1642941998.09
IPI00394838.3	 	ACLY	39110	49	125	3787708765.95	3212599672.88	3094781692.91	3116735239.21	4169445049.89	1707192559.73	1523611483.08	1390041688.05	1680944114.63	1512766948.59
IPI00019353.4	 	AGK	39110	13	18	397762053.452	454257554.388	420099873.572	404334851.153	404796941.398	325874219.541	335522770.119	303078374.403	339794068.691	277495382.948
IPI00014482.3	 	ALKBH1	39110	3	3	35318488.266	39297246.509	41487146.534	30351495.077	48080762.733	31968065.47	32634811.968	39806950.787	30978774.701	39066349.063
IPI00024934.4	 	MUT	39110	13	19	401671547.606	326930737.568	329924474.544	374516720.876	482956932.128	163147873.536	115085272.905	99346665.65	133679267.149	142145323.937
IPI00375294.2	 	LAMA1	39110	1	4	87758486.371	98984016.649	59784307.035	64345175.259	80412859.329	56140478.19	59344971.659	50706675.831	57369701.451	42053666.92
IPI00386861.4	 	PEX16	39110	3	4	33570906.519	35269628.866	34840520.61	43629909.936	40556809.634	27687047.892	25557973.873	23189385.31	25761218.666	30976034.447
IPI00797537.2	 	NUDCD1	39110	9	12	185809522.264	179305154.042	202106604.659	171272522.827	256085013.054	141869494.008	138205947.387	137361405.727	127425496.147	138078941.549
IPI00298947.5	 	MEST	39110	1	2	6268873.436	6477246.018	5150688.779	5282564.223	7098437.915	4845931.766	4817570.908	5161020.433	5736253.002	3909742.879
IPI00015947.5	 	DNAJB1	39110	9	13	161609733.241	154547475.751	171461709.843	132605166.934	229337689.313	126828852.344	123344930.703	143100878.401	123198477.148	158899663.686
IPI00328911.2	 	HECTD1	39110	11	13	225218169.534	208713733.699	215763397.372	185997411.429	286802775.645	170881190.047	164161108.436	179519670.743	160227170.698	178886476.849
IPI00074870.1	 	DNAJC1	39110	11	16	214144867.778	201061099.531	216232512.142	195750123.907	261365356.648	132638308.442	108056867.994	113404104.113	118597906.61	122778489.468
IPI00020906.1	 	IMPA1	39110	7	13	313312228.6	325987989.281	314858869.509	296021845.535	369852151.119	289515887.887	291294292.039	298245350.308	295650125.546	307870021.312
IPI00020887.3	 	VAMP7	39110	6	10	281325164.228	264284096.679	260251386.976	241010180.741	347575903.865	187736981.472	167050277.559	180009055.646	169523159.907	185074271.243
IPI00010080.2	 	OXSR1	39110	4	4	43098155.722	37840458.278	40977896.242	40343117.56	61504900.049	29624008.975	26871732.401	27033058.198	29806079.193	35721470.759
IPI00014149.3	 	TTC35	39110	10	17	424368071.281	398324686.84	348208293.211	333263110.341	494794164.811	217007916.379	185835519.608	180557083.611	177566023.629	171138100.453
IPI00513761.2	 	ECHDC1	39110	6	13	203673791.814	229664316.009	203553176.965	193437441.088	248280600.464	189686593.539	196834866.075	194131828.249	199671331.079	193924181.019
IPI00005881.3	 	ATG12	39110	4	8	77814083.826	78323309.777	80206820.598	73849837.657	92049090.305	65607826.31	71354328.953	69913341.416	69391543.824	67256227.432
IPI00045511.1	 	CLCC1	39110	10	16	360223641.112	397150435.09	392668796.156	334528882.213	453915515.679	326645542.297	341199915.409	330841136.824	332374666.572	343482315.421
IPI00217030.10	 	RPS4X	39110	5	6	213375157.072	164757897.429	138575179.757	191486319.965	307339418.453	210171339.389	185263618.579	134724512.024	240927198.74	201247974.525
IPI00759695.1	 	RHBDD2	39110	2	9	61685049.281	58464434.118	51318582.841	53412703.426	68073608.766	51741519.736	43749813.567	47646062.818	51925013.775	43874223.435
IPI00292657.3	 	PTGR1	39110	9	14	472423384.48	484429493.307	484416676.432	441408249.389	575649279.859	393884725.42	402933519.569	438032438.435	432837896.084	430861963.093
IPI00030275.5	 	TRAP1	39110	27	69	1666547691.96	1523691874.89	1695109947.62	1390954920.71	1997575826.39	874874212.728	701970273.694	762276145.555	702138747.419	832656731.506
IPI00003704.4	 	RBM4B	39110	7	8	214823348.839	226260679.328	240848363.13	192097811.343	275569879.162	133441665.823	143445965.408	151356627.63	130665365.339	154434548.125
IPI00879359.1	 	YWHAZ	39110	10	42	1015144755.29	1081830521.96	1107515385.51	1012682917.47	1236578773.29	904133643.055	937431098.292	1010238797.64	1017789236.25	1057164966.23
IPI00329672.4	 	MYO1E	39110	1	1	3826709.901	2812842.827	2493128.074	3238014.409	4205245.491	1864237.509	1375526.216	1826240.002	1932302.773	1406411.323
IPI00010188.2	 	MRS2	39110	6	8	150967207.195	148087071.533	150437136.034	120535719.309	182151324.015	124762332.015	104426923.005	129259555.825	107143808.59	123560262.535
IPI00642971.3	 	EEF1D	39110	15	41	862386470.762	711516466.543	685783603.032	550606708.746	1039853189.95	316674891.322	282844594.388	303887611.588	281050801.667	291991386.696
IPI00301936.4	 	ELAVL1	39110	6	7	101950439.767	108231573.682	111778905.51	91706816.55	149711664.82	63326493.121	67705186.487	69481253.647	64468998.23	73510352.83
IPI00015833.1	 	CHCHD3	39110	16	27	623367784.292	655247619.197	675774971.573	559911236.623	916797776.357	702004179.444	597564138.03	772438313.576	598175937.237	769958249.261
IPI00004317.1	 	POLG	39110	4	4	35721399.538	35822759.829	37204701.658	37417248.17	47718886.898	15665861.019	18945235.067	17307795.46	19903433.926	17612852.629
IPI00300341.5	 	TCEB1	39110	4	9	376116492.763	405813024	411307087.181	369689938.665	490143082.541	298727427.025	299060265.636	332895318.25	302386966.026	352611398.571
IPI00010346.1	 	NLN	39110	20	32	511370762.464	535658658.246	510471763.257	486645813.185	612614522.33	419824675.011	434589854.061	436461339.418	423760565.208	437494165.522
IPI00027745.4	 	GUSB	39110	12	19	378191170.149	339358946.885	382730838.319	306089843.011	449240745.655	336629555.882	361432689.851	376967304.654	340221123.097	372796734.152
IPI00152708.3	 	UTP15	39110	6	8	70417375.075	61654572.329	66241234.624	57036572.593	92945421.825	74352413.027	71735306.176	79596078.041	78296441.741	83186888.172
IPI00005724.1	 	LANCL1	39110	13	36	628751142.555	662310368.707	600138011.643	589520196.591	769385906.076	570059856.386	569286066.889	594694347.153	597054385.566	566450006.289
IPI00792065.3	 	TOR1AIP1	39110	15	35	664526846.135	685423390.793	617570383.589	556995984.81	776345796.012	554044859.756	553704904.948	577861735.066	567835639.94	544949741.274
IPI00015878.1	 	CHIC2	39110	1	1	15445767.853	15653940.345	13362703.218	15069974.264	16448216.77	13086437.811	11132820.176	13379856.157	12819258.556	12511774.222
IPI00847579.1	 	RPS12	39110	6	13	475424857.371	571495247.697	621241196.271	362894104.787	691794118.725	432832329.636	503574749.42	635230659.056	434142214.308	590403654.514
IPI00376195.5	 	ISCA2	39110	3	4	30962707.687	36553373.561	30839427.091	31468824.694	41844197.676	23132295.926	25633373.198	24142867.252	23814908.408	28014305.587
IPI00479918.2	 	SLC39A14	39110	6	28	938145389.285	1013804445.28	1004479824.55	941433389.958	1200679739.97	912581244.023	958843877.062	953212261.806	978236846.008	988543119.985
IPI00022832.1	 	BRP44	39110	4	13	231828704.506	262262129.178	239551158.093	234953598.652	257410090.981	204498381.171	224177435.524	219649651.511	244039124.942	214217000.789
IPI00218474.5	 	ENO3	39110	11	28	489232941.479	532445331.218	534791278.515	500090958.765	632684525.586	473905103.177	487261380.777	495012818.351	498109033.495	515282275.577
IPI00021987.3	 	RGP1	39110	4	4	21715827.392	21109738.315	19684779.21	20012744.891	25562591.464	14821998.093	13416589.584	13970466.92	14336030.049	14023366.373
IPI00006907.1	 	C12ORF5	39110	2	3	102508856.469	92854236.539	92454552.331	89760260.384	129550510.111	31836999.899	24522833.45	21285331.759	22196578.885	31595854.893
IPI00011488.4	 	STK4	39110	8	18	301355237.326	266743333.447	294119991.311	259834383.964	375267741.088	203917797.798	174172522.677	178884717.216	177033355.811	210307895.685
IPI00013415.1	 	RPS7	39110	3	5	98420764.216	104097104.214	97528247.736	78224781.534	121815705.313	93551941.104	95250554.992	97446039.022	99217247.193	107639100.502
IPI00399089.4	 	MESDC2	39110	10	30	796097866.857	848946902.416	839487520.26	714580366.249	962556889.349	675836287.388	722459863.964	691495339.395	704562766.151	687134484.879
IPI00784090.2	 	CCT8	39110	34	125	3686777957.41	3178108421.42	3069490372.8	2172236245.42	4325047511.88	3347121344.85	2835798061.46	3204093314.66	2828777332.93	2838643753.89
IPI00019994.4	 	CXORF15	39110	11	14	432234404.593	419422087.632	458908056.218	365336725.777	589828319.592	366845032.556	344225911.288	387964955.792	326074069.221	388244107.561
IPI00029447.5	 	GOSR1	39110	9	16	390373200.525	371922550.215	399609112.128	351857036.149	491120036.468	331551182.784	320469940.976	358812745.958	339026795.607	360022378.547
IPI00024403.1	 	CPNE3	39110	9	11	307871519.627	276270802.219	291417334.02	273096722.224	360932973.247	148382832.798	118895529.861	126561582.656	126893628.036	133200990.696
IPI00009755.3	 	METTL3	39110	15	20	365313696.726	377785406.872	381950104.593	349009662.122	435114935.159	267806068.147	274510558.615	282922354.228	277163419.671	272842985.34
IPI00291751.6	 	C2ORF47	39110	6	11	369732261.744	368040258.689	385973719.472	340986451.404	437470455.712	286802029.244	264440076.617	289517085.225	263950401.121	281817958.991
IPI00020407.1	 	MGAT5	39110	8	10	206505350.761	221825963.356	221659313.894	190814509.618	248446861.705	168717164.591	196148805.342	180159675.563	177229916.504	184400768.484
IPI00549993.3	 	C10ORF97	39110	2	2	25458153.557	23608247.503	26384253.406	23560780.449	30130670.681	20670855.421	20073265.225	22387383.524	19035759.99	20932373.354
IPI00643071.2	 	FAM108B1	39110	1	2	3718187.102	2790047.75	3496572.525	2477149.698	5030372.521	3348647.37	2325243.993	2906234.821	3016127.578	3712076.609
IPI00759546.2	 	MLLT4	39110	23	32	433814581.301	479758608.151	500075699.509	480922909.227	579691640.783	272176916.712	337467467.889	289675862.911	328957554.371	300328755.186
IPI00465436.4	 	CAT	39110	17	36	760548363.707	819160956.358	740914315.719	724425328.527	970018112.608	710163516.684	765142635.168	688280765.202	696845914.1	673396376.081
IPI00216951.2	 	DARS	39110	20	43	982069975.241	947940746.672	940672525.665	909788852.781	1190718276.15	810633714.068	704153390.944	731939596.302	788060042.367	822712711.3
IPI00023511.1	 	RNF167	39110	2	2	30827820.203	34526394.741	28646297.046	37140494.201	39332607.161	34594792.226	28305214.202	31776820.218	30193103.809	34317237.57
IPI00550917.3	 	TWF2	39110	8	14	374951094.655	376469455.604	379116887.774	352743446.715	463559361.627	316665849.993	321235605.843	336847929.744	325871773.086	330391446.146
IPI00172656.6	 	FAF2	39110	2	2	39762508.622	44283440.098	33976203.749	31697543.256	46542479.225	21960483.717	20869469.275	23080443.684	22244203.946	19796778.81
IPI00470502.2	 	PPA2	39110	10	21	503920844.926	548048716.982	525163826.858	488715597.516	614068053.493	449150163.318	457560073.412	451006884.827	483606386.156	473732744.915
IPI00017283.2	 	IARS2	39110	25	61	1886427274.46	1991025989.23	2064750575.87	1857140482.63	2322716166.56	1325268325.21	1499488238.67	1438460783.54	1497889704.95	1608854043.37
IPI00549612.2	 	ANKRD49	39110	1	1	7910931.816	7202660.376	6573888.413	6200712.499	9899801.028	5894061.288	4679855.761	5797773.509	4794323.826	5847362.041
IPI00442073.5	 	CSRP1	39110	9	16	460346623.805	452555376.206	515117003.187	400904361.247	552332505.553	404845998.54	405493600.317	438985078.076	361599463.023	443249139.429
IPI00000013.1	 	CTSL2	39110	1	1	6904490.156	8679675	8509598.539	8899529.383	11072625.308	8092589.893	7333389.716	7566496.553	7351749.245	9233282.169
IPI00874143.1	 	GSTZ1	39110	1	2	30694446.263	32935035.912	32142346.637	29805115.824	35277369.588	26083431.958	27765496.865	27686192.121	26847917.26	28650066.298
IPI00006072.1	 	SEC61G	39110	1	6	15628457.284	16033417.999	15162505.551	13195677.467	18305377.912	10887201.159	10706836.171	10373344.72	9694336.979	10906151.829
IPI00011550.1	 	ZCCHC3	39110	8	11	114277379.52	129948441.23	118731668.072	113185491.865	155009931.685	130112439.619	128732676.74	131560815.688	126332723.111	138685818.979
IPI00006034.1	 	CRIP2	39110	6	11	180655064.57	201193114.437	168836925.294	174611478.764	256219182.818	166385771.27	163743154.821	161040844.594	160799826.339	159809757.747
IPI00289773.3	 	CEBPB	39110	2	3	58308825.481	61728553.16	60002256.792	58994434.879	68555766.393	46770499.254	47096190.864	49473704.595	51927413.393	48725586.551
IPI00219468.4	 	PFN2	39110	2	4	129599870.346	97631455.188	115417845.64	91350692.53	121443654.142	72855982.747	72465471.711	74952462.093	73122422.765	79936085.104
IPI00019872.1	 	HSD17B2	39110	1	1	33410420.439	23731706.985	22853442.08	27375017.435	32413545.72	8497281.318	7088291.223	7011192.105	7520749.851	7769720.417
IPI00239077.5	 	HINT1	39110	6	23	227927846.856	250218226.37	250059348.659	248048853.352	310988673.539	205794336.42	232440589.183	230092602.581	225888668.004	278884836.832
