representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00003856.1	 	ATP6V1E1	39093	4	4	59861405.502	51625229.976	75466307.615	54379478.547	46783098.007	49302730.025	42869691.049	75948222.701	31407106.859	36798529.339
IPI00020004.3	 	TMEM97	39093	3	9	69078720.644	53296305.487	65837524.663	69274606.729	48937127.182	65659115.113	49882414.315	54510578.462	51019023.614	41574722.223
IPI00022462.2	 	TFRC	39093	27	69	1778810212.49	1323090135.89	1513050476.58	1452506026.16	1221562447.14	1534762951.16	1242660980.58	1263219650.78	1104973484.69	991964995.579
IPI00012512.1	 	RRAS2	39093	6	7	241527692.462	152488548.315	179034165.441	189259958.158	159633260.953	132406356.271	94333605.598	94678534.937	86824562.944	86456042.893
IPI00297646.4	 	COL1A1	39093	3	3	83439149.447	94601985.265	97874397.537	94807905.522	67539427.505	116517816.678	86804901.238	77181197.745	72191761.485	42525820.451
IPI00015285.7	 	PCYT2	39093	2	3	67893748.53	34345826.018	35482811.667	62265758.355	31789303.458	19955385.097	13396667.628	14455724.416	12918470.492	14102196.777
IPI00012199.1	 	CCDC86	39093	8	8	106813722.459	84109099.731	103081219.677	93024753.56	65962125.509	79106377.354	72267830.979	79017064.813	62944856.757	55087892.063
IPI00639811.2	 	RABEPK	39093	5	6	92737034.478	70097899.024	74716399.37	81595505.325	66332968.371	67742417.389	55201997.59	56887498.446	56040831.172	47904516.862
IPI00555956.2	 	PSMB4	39093	6	27	1340315604.41	1109331311.72	1085912515.43	1102289783.11	980981012.818	1234836796.4	1072743747.94	1086956657.05	1055542667.03	802169470.415
IPI00025019.3	 	PSMB1	39093	13	39	737338276.03	622762375.587	744884759.326	617912951.224	575261874.935	743042392.008	667967229.221	693150737.246	598190435.965	509747119.366
IPI00386687.3	 	LRRFIP1	39093	1	2	55367623.44	43340712.26	39719624.669	45105323.499	35784879.596	46494507.899	40268943.063	40720554.736	33061018.4	31088186.722
IPI00749429.1	 	TTYH3	39093	2	3	27979641.945	22058906.985	28926187.215	31754830.809	21747137.58	28114648.143	22848748.04	23398522.45	18007760.467	16638824.687
IPI00303726.3	 	IFITM3	39093	2	4	287023719.88	218681787.064	328481303.105	238456315.353	193336833.036	304796198.078	268010246.694	277323598.66	214028523.357	199156375.645
IPI00002412.1	 	PPT1	39093	4	6	182021758.986	143076998.518	177067345.304	166820650.173	125327593.29	127299333.842	109081122.362	122266406.405	95144897.785	93576780.905
IPI00010157.1	 	MAT2A	39093	14	21	345097392.669	254263153.077	289813144.941	268894580.555	241997287.341	272271601.055	222917839.199	238276373.092	196368617.181	192681623.474
IPI00247674.6	 	PALM3	39093	1	1	6197020.427	5410379.213	8146097.947	6196697.71	3911009.109	6298707.643	6945024.934	6141144.016	5149716.783	4969717.687
IPI00829914.1	 	C1ORF122	39093	1	1	11648128.43	8327514.782	14419577.546	8425085.011	9407780.631	8356556.995	5657238.118	7380358.173	5764349.486	7641074.404
IPI00020906.1	 	IMPA1	39093	11	27	662137336.824	490735050.758	611630298.753	615063034.116	453376524.623	600928637.39	526613782.664	540372380.167	496283005.828	416800394.811
IPI00218086.2	 	RDH10	39093	2	2	10688912.747	6939656.954	8760497.848	8786468.93	8467406.66	6717804.649	5674538.572	6357190.966	5119879.87	5649627.784
IPI00045511.1	 	CLCC1	39093	13	21	445051697.348	377350801.492	442036367.362	398104807.275	295929939.708	378315682.563	331926776.298	339039413.422	293228852.011	235019302.661
IPI00017344.3	 	RAB5B	39093	6	9	565060257.75	400632102.847	503503726.157	551172141.606	380251814.731	446197145.829	355512926.666	345833549.274	356072152.041	292981790.021
IPI00218899.6	 	ADH4	39093	12	17	377075845.568	284148815.06	359363218.618	357035510.587	231962751.651	338224477.898	279523693.904	296160537.105	255067545.401	199293546.333
IPI00013466.4	 	ASNA1	39093	5	6	92650823.808	62766433.025	79937131.195	75525041.194	66767320.477	39604933.876	28177662.051	28374846.545	20590712.558	27023643.129
IPI00292657.3	 	PTGR1	39093	4	4	85268592.663	49384221.429	70911700.634	61205858.85	58681134.972	68461206.894	44928012.46	50933535.815	44430072.325	44708648.594
IPI00008483.1	 	MAOA	39093	2	2	71396726.549	48141080.415	52983175.221	57931909.763	39347955.923	35266276.433	24387305.494	25311186.405	27391933.917	21951215.962
IPI00465054.2	 	THUMPD1	39093	7	10	270098743.053	200264970.305	259324237.739	183126146.898	172508976.706	137791754.543	110311724.573	125594330.338	78059958.415	105003837.415
IPI00016150.1	 	SERPINI1	39093	1	1	13843257.033	8528164.468	12556497.254	10007335.471	9604983.379	7904343.637	5882122.32	6065788.613	4385382.982	5206455.362
IPI00004506.3	 	KCTD5	39093	2	2	47649177.157	29651819.822	33610532.462	42894974.956	27968256.191	40149317.516	25871968.21	28577333.753	22398735.611	18938750.715
IPI00015833.1	 	CHCHD3	39093	11	16	696754681.622	532957738.766	756415037.917	515779084.751	568767103.942	610088914.147	556556417.547	599002294.912	423162838.332	499229959.144
IPI00332828.1	 	CES2	39093	5	5	58661638.03	52653324.344	84304709.323	46302567.591	41323614.329	54142751.917	62679169.916	66589285.499	34179803.056	41466182.884
IPI00382412.4	 	BCAT1	39093	6	11	358954106.768	277470774.759	335382954.85	332346462.985	243833507.175	306246029.723	248519031.255	257087413.972	223493425.501	193403313.004
IPI00019997.1	 	LIN7C	39093	7	8	254434663.401	183789566.016	220422922.796	207777230.287	175454037.679	194275867.816	150799212.736	163055326.508	127385002.835	154031447.755
IPI00010346.1	 	NLN	39093	3	3	80952519.167	43342526.28	53578555.275	52685192.059	48769546.653	13877933.962	11695174.348	12245686.833	8882427.699	7995880.314
IPI00011420.2	 	BAK1	39093	5	6	69682522.686	51992950.734	58688716.442	59188447.903	50004859.584	57032608.678	49981434.288	52210653.879	46391047.107	37321123.22
IPI00005724.1	 	LANCL1	39093	8	11	299682772.123	184346888.219	220294574.066	247205603.616	195498422.807	161149374.15	108477361.311	101811179.734	101021106.27	90424973.345
IPI00792065.3	 	TOR1AIP1	39093	8	9	172419472.489	141621410.196	163139366.015	136807597.574	110327619.826	138326562.855	131334446.062	134216581.693	105750437.284	87583816.149
IPI00386294.2	 	TOMM6	39093	1	2	9927131.385	7236638.594	9230043.518	8256645.453	5646350.486	6763419.307	5053917.69	7609146.665	6057232.768	4523817.352
IPI00165361.3	 	DCUN1D5	39093	1	1	44661611.53	34901622.618	43155886.726	37994678.549	30938057.676	29161241.627	25557617.985	23543563.947	22145809.379	18781026.309
IPI00376195.5	 	ISCA2	39093	1	1	10906519.04	9183719.744	13350203.186	9686544.438	8029765.969	9263197.699	8651367.328	8705040.03	6549636.28	6900993.354
IPI00465431.8	 	LGALS3	39093	4	4	55417739.597	41662345.458	69417235.302	49421433.906	40002193.189	46630471.656	36925356.054	44208237.986	35182085.533	32727318.615
IPI00022832.1	 	BRP44	39093	6	14	223316341.904	178953846.094	171903922.92	221152559.596	138438851.876	168119028.453	127798443.284	123505822.953	134443248.116	92452546.256
